# COMMON COMMAND SEQUENCE PATTERNS
# Format: FULL_SEQUENCE	CATEGORY	FREQUENCY

HOW DO I STOP DRIVER	QUESTION	10
HOW DO I STOP NETWORK	QUESTION	10
HOW DO I STOP WIFI	QUESTION	10
HOW DO I STOP BLUETOOTH	QUESTION	10
HOW DO I STOP PRINTER	QUESTION	10
HOW DO I STOP USB	QUESTION	10
HOW DO I STOP DISK	QUESTION	10
HOW DO I STOP PARTITION	QUESTION	10
HOW DO I STOP FILE	QUESTION	10
HOW DO I STOP FOLDER	QUESTION	10
HOW DO I RESTART PACKAGE	QUESTION	10
HOW DO I RESTART SERVICE	QUESTION	10
HOW DO I RESTART DRIVER	QUESTION	10
HOW DO I RESTART NETWORK	QUESTION	10
HOW DO I RESTART WIFI	QUESTION	10
HOW DO I RESTART BLUETOOTH	QUESTION	10
HOW DO I RESTART PRINTER	QUESTION	10
HOW DO I RESTART USB	QUESTION	10
HOW DO I RESTART DISK	QUESTION	10
HOW DO I RESTART PARTITION	QUESTION	10
HOW DO I RESTART FILE	QUESTION	10
HOW DO I RESTART FOLDER	QUESTION	10
HOW CAN I INSTALL PACKAGE	QUESTION	10
HOW CAN I INSTALL SERVICE	QUESTION	10
HOW CAN I INSTALL DRIVER	QUESTION	10
HOW CAN I INSTALL NETWORK	QUESTION	10
HOW CAN I INSTALL WIFI	QUESTION	10
HOW CAN I INSTALL BLUETOOTH	QUESTION	10
HOW CAN I INSTALL PRINTER	QUESTION	10
HOW CAN I INSTALL USB	QUESTION	10
HOW CAN I INSTALL DISK	QUESTION	10
HOW CAN I INSTALL PARTITION	QUESTION	10
HOW CAN I INSTALL FILE	QUESTION	10
HOW CAN I INSTALL FOLDER	QUESTION	10
HOW CAN I REMOVE PACKAGE	QUESTION	10
HOW CAN I REMOVE SERVICE	QUESTION	10
HOW CAN I REMOVE DRIVER	QUESTION	10
HOW CAN I REMOVE NETWORK	QUESTION	10
HOW CAN I REMOVE WIFI	QUESTION	10
HOW CAN I REMOVE BLUETOOTH	QUESTION	10
HOW CAN I REMOVE PRINTER	QUESTION	10
HOW CAN I REMOVE USB	QUESTION	10
HOW CAN I REMOVE DISK	QUESTION	10
HOW CAN I REMOVE PARTITION	QUESTION	10
HOW CAN I REMOVE FILE	QUESTION	10
HOW CAN I REMOVE FOLDER	QUESTION	10
HOW CAN I UPDATE PACKAGE	QUESTION	10
HOW CAN I UPDATE SERVICE	QUESTION	10
HOW CAN I UPDATE DRIVER	QUESTION	10
HOW CAN I UPDATE NETWORK	QUESTION	10
HOW CAN I UPDATE WIFI	QUESTION	10
HOW CAN I UPDATE BLUETOOTH	QUESTION	10
HOW CAN I UPDATE PRINTER	QUESTION	10
HOW CAN I UPDATE USB	QUESTION	10
HOW CAN I UPDATE DISK	QUESTION	10
HOW CAN I UPDATE PARTITION	QUESTION	10
HOW CAN I UPDATE FILE	QUESTION	10
HOW CAN I UPDATE FOLDER	QUESTION	10
HOW CAN I CONFIGURE PACKAGE	QUESTION	10
HOW CAN I CONFIGURE SERVICE	QUESTION	10
HOW CAN I CONFIGURE DRIVER	QUESTION	10
HOW CAN I CONFIGURE NETWORK	QUESTION	10
HOW CAN I CONFIGURE WIFI	QUESTION	10
HOW CAN I CONFIGURE BLUETOOTH	QUESTION	10
HOW CAN I CONFIGURE PRINTER	QUESTION	10
HOW CAN I CONFIGURE USB	QUESTION	10
HOW CAN I CONFIGURE DISK	QUESTION	10
HOW CAN I CONFIGURE PARTITION	QUESTION	10
HOW CAN I CONFIGURE FILE	QUESTION	10
HOW CAN I CONFIGURE FOLDER	QUESTION	10
HOW CAN I FIX PACKAGE	QUESTION	10
HOW CAN I FIX SERVICE	QUESTION	10
HOW CAN I FIX DRIVER	QUESTION	10
HOW CAN I FIX NETWORK	QUESTION	10
HOW CAN I FIX WIFI	QUESTION	10
HOW CAN I FIX BLUETOOTH	QUESTION	10
HOW CAN I FIX PRINTER	QUESTION	10
HOW CAN I FIX USB	QUESTION	10
HOW CAN I FIX DISK	QUESTION	10
HOW CAN I FIX PARTITION	QUESTION	10
HOW CAN I FIX FILE	QUESTION	10
HOW CAN I FIX FOLDER	QUESTION	10
HOW CAN I CHECK PACKAGE	QUESTION	10
HOW CAN I CHECK SERVICE	QUESTION	10
HOW CAN I CHECK DRIVER	QUESTION	10
HOW CAN I CHECK NETWORK	QUESTION	10
HOW CAN I CHECK WIFI	QUESTION	10
HOW CAN I CHECK BLUETOOTH	QUESTION	10
HOW CAN I CHECK PRINTER	QUESTION	10
HOW CAN I CHECK USB	QUESTION	10
HOW CAN I CHECK DISK	QUESTION	10
HOW CAN I CHECK PARTITION	QUESTION	10
HOW CAN I CHECK FILE	QUESTION	10
HOW CAN I CHECK FOLDER	QUESTION	10
HOW CAN I FIND PACKAGE	QUESTION	10
HOW CAN I FIND SERVICE	QUESTION	10
HOW CAN I FIND DRIVER	QUESTION	10
HOW CAN I FIND NETWORK	QUESTION	10
HOW CAN I FIND WIFI	QUESTION	10
HOW CAN I FIND BLUETOOTH	QUESTION	10
HOW CAN I FIND PRINTER	QUESTION	10
HOW CAN I FIND USB	QUESTION	10
HOW CAN I FIND DISK	QUESTION	10
HOW CAN I FIND PARTITION	QUESTION	10
HOW CAN I FIND FILE	QUESTION	10
HOW CAN I FIND FOLDER	QUESTION	10
HOW CAN I SETUP PACKAGE	QUESTION	10
HOW CAN I SETUP SERVICE	QUESTION	10
HOW CAN I SETUP DRIVER	QUESTION	10
HOW CAN I SETUP NETWORK	QUESTION	10
HOW CAN I SETUP WIFI	QUESTION	10
HOW CAN I SETUP BLUETOOTH	QUESTION	10
HOW CAN I SETUP PRINTER	QUESTION	10
HOW CAN I SETUP USB	QUESTION	10
HOW CAN I SETUP DISK	QUESTION	10
HOW CAN I SETUP PARTITION	QUESTION	10
HOW CAN I SETUP FILE	QUESTION	10
HOW CAN I SETUP FOLDER	QUESTION	10
HOW CAN I ENABLE PACKAGE	QUESTION	10
HOW CAN I ENABLE SERVICE	QUESTION	10
HOW CAN I ENABLE DRIVER	QUESTION	10
HOW CAN I ENABLE NETWORK	QUESTION	10
HOW CAN I ENABLE WIFI	QUESTION	10
HOW CAN I ENABLE BLUETOOTH	QUESTION	10
HOW CAN I ENABLE PRINTER	QUESTION	10
HOW CAN I ENABLE USB	QUESTION	10
HOW CAN I ENABLE DISK	QUESTION	10
HOW CAN I ENABLE PARTITION	QUESTION	10
HOW CAN I ENABLE FILE	QUESTION	10
HOW CAN I ENABLE FOLDER	QUESTION	10
HOW CAN I DISABLE PACKAGE	QUESTION	10
HOW CAN I DISABLE SERVICE	QUESTION	10
HOW CAN I DISABLE DRIVER	QUESTION	10
HOW CAN I DISABLE NETWORK	QUESTION	10
HOW CAN I DISABLE WIFI	QUESTION	10
HOW CAN I DISABLE BLUETOOTH	QUESTION	10
HOW CAN I DISABLE PRINTER	QUESTION	10
HOW CAN I DISABLE USB	QUESTION	10
HOW CAN I DISABLE DISK	QUESTION	10
HOW CAN I DISABLE PARTITION	QUESTION	10
HOW CAN I DISABLE FILE	QUESTION	10
HOW CAN I DISABLE FOLDER	QUESTION	10
HOW CAN I START PACKAGE	QUESTION	10
HOW CAN I START SERVICE	QUESTION	10
HOW CAN I START DRIVER	QUESTION	10
HOW CAN I START NETWORK	QUESTION	10
HOW CAN I START WIFI	QUESTION	10
HOW CAN I START BLUETOOTH	QUESTION	10
HOW CAN I START PRINTER	QUESTION	10
HOW CAN I START USB	QUESTION	10
HOW CAN I START DISK	QUESTION	10
HOW CAN I START PARTITION	QUESTION	10
HOW CAN I START FILE	QUESTION	10
HOW CAN I START FOLDER	QUESTION	10
HOW CAN I STOP PACKAGE	QUESTION	10
HOW CAN I STOP SERVICE	QUESTION	10
HOW CAN I STOP DRIVER	QUESTION	10
HOW CAN I STOP NETWORK	QUESTION	10
HOW CAN I STOP WIFI	QUESTION	10
HOW CAN I STOP BLUETOOTH	QUESTION	10
HOW CAN I STOP PRINTER	QUESTION	10
HOW CAN I STOP USB	QUESTION	10
HOW CAN I STOP DISK	QUESTION	10
HOW CAN I STOP PARTITION	QUESTION	10
HOW CAN I STOP FILE	QUESTION	10
HOW CAN I STOP FOLDER	QUESTION	10
HOW CAN I RESTART PACKAGE	QUESTION	10
HOW CAN I RESTART SERVICE	QUESTION	10
HOW CAN I RESTART DRIVER	QUESTION	10
HOW CAN I RESTART NETWORK	QUESTION	10
HOW CAN I RESTART WIFI	QUESTION	10
HOW CAN I RESTART BLUETOOTH	QUESTION	10
HOW CAN I RESTART PRINTER	QUESTION	10
HOW CAN I RESTART USB	QUESTION	10
HOW CAN I RESTART DISK	QUESTION	10
HOW CAN I RESTART PARTITION	QUESTION	10
HOW CAN I RESTART FILE	QUESTION	10
HOW CAN I RESTART FOLDER	QUESTION	10
HOW TO INSTALL PACKAGE	QUESTION	10
HOW TO INSTALL SERVICE	QUESTION	10
HOW TO INSTALL DRIVER	QUESTION	10
HOW TO INSTALL NETWORK	QUESTION	10
HOW TO INSTALL WIFI	QUESTION	10
HOW TO INSTALL BLUETOOTH	QUESTION	10
HOW TO INSTALL PRINTER	QUESTION	10
HOW TO INSTALL USB	QUESTION	10
HOW TO INSTALL DISK	QUESTION	10
HOW TO INSTALL PARTITION	QUESTION	10
HOW TO INSTALL FILE	QUESTION	10
HOW TO INSTALL FOLDER	QUESTION	10
HOW TO REMOVE PACKAGE	QUESTION	10
HOW TO REMOVE SERVICE	QUESTION	10
HOW TO REMOVE DRIVER	QUESTION	10
HOW TO REMOVE NETWORK	QUESTION	10
HOW TO REMOVE WIFI	QUESTION	10
HOW TO REMOVE BLUETOOTH	QUESTION	10
HOW TO REMOVE PRINTER	QUESTION	10
HOW TO REMOVE USB	QUESTION	10
HOW TO REMOVE DISK	QUESTION	10
HOW TO REMOVE PARTITION	QUESTION	10
HOW TO REMOVE FILE	QUESTION	10
HOW TO REMOVE FOLDER	QUESTION	10
HOW TO UPDATE PACKAGE	QUESTION	10
HOW TO UPDATE SERVICE	QUESTION	10
HOW TO UPDATE DRIVER	QUESTION	10
HOW TO UPDATE NETWORK	QUESTION	10
HOW TO UPDATE WIFI	QUESTION	10
HOW TO UPDATE BLUETOOTH	QUESTION	10
HOW TO UPDATE PRINTER	QUESTION	10
HOW TO UPDATE USB	QUESTION	10
HOW TO UPDATE DISK	QUESTION	10
HOW TO UPDATE PARTITION	QUESTION	10
HOW TO UPDATE FILE	QUESTION	10
HOW TO UPDATE FOLDER	QUESTION	10
HOW TO CONFIGURE PACKAGE	QUESTION	10
HOW TO CONFIGURE SERVICE	QUESTION	10
HOW TO CONFIGURE DRIVER	QUESTION	10
HOW TO CONFIGURE NETWORK	QUESTION	10
HOW TO CONFIGURE WIFI	QUESTION	10
HOW TO CONFIGURE BLUETOOTH	QUESTION	10
HOW TO CONFIGURE PRINTER	QUESTION	10
HOW TO CONFIGURE USB	QUESTION	10
HOW TO CONFIGURE DISK	QUESTION	10
HOW TO CONFIGURE PARTITION	QUESTION	10
HOW TO CONFIGURE FILE	QUESTION	10
HOW TO CONFIGURE FOLDER	QUESTION	10
HOW TO FIX PACKAGE	QUESTION	10
HOW TO FIX SERVICE	QUESTION	10
HOW TO FIX DRIVER	QUESTION	10
HOW TO FIX NETWORK	QUESTION	10
HOW TO FIX WIFI	QUESTION	10
HOW TO FIX BLUETOOTH	QUESTION	10
HOW TO FIX PRINTER	QUESTION	10
HOW TO FIX USB	QUESTION	10
HOW TO FIX DISK	QUESTION	10
HOW TO FIX PARTITION	QUESTION	10
HOW TO FIX FILE	QUESTION	10
HOW TO FIX FOLDER	QUESTION	10
HOW TO CHECK PACKAGE	QUESTION	10
HOW TO CHECK SERVICE	QUESTION	10
HOW TO CHECK DRIVER	QUESTION	10
HOW TO CHECK NETWORK	QUESTION	10
HOW TO CHECK WIFI	QUESTION	10
HOW TO CHECK BLUETOOTH	QUESTION	10
HOW TO CHECK PRINTER	QUESTION	10
HOW TO CHECK USB	QUESTION	10
HOW TO CHECK DISK	QUESTION	10
HOW TO CHECK PARTITION	QUESTION	10
HOW TO CHECK FILE	QUESTION	10
HOW TO CHECK FOLDER	QUESTION	10
HOW TO FIND PACKAGE	QUESTION	10
HOW TO FIND SERVICE	QUESTION	10
HOW TO FIND DRIVER	QUESTION	10
HOW TO FIND NETWORK	QUESTION	10
HOW TO FIND WIFI	QUESTION	10
HOW TO FIND BLUETOOTH	QUESTION	10
HOW TO FIND PRINTER	QUESTION	10
HOW TO FIND USB	QUESTION	10
HOW TO FIND DISK	QUESTION	10
HOW TO FIND PARTITION	QUESTION	10
HOW TO FIND FILE	QUESTION	10
HOW TO FIND FOLDER	QUESTION	10
HOW TO SETUP PACKAGE	QUESTION	10
HOW TO SETUP SERVICE	QUESTION	10
HOW TO SETUP DRIVER	QUESTION	10
HOW TO SETUP NETWORK	QUESTION	10
HOW TO SETUP WIFI	QUESTION	10
HOW TO SETUP BLUETOOTH	QUESTION	10
HOW TO SETUP PRINTER	QUESTION	10
HOW TO SETUP USB	QUESTION	10
HOW TO SETUP DISK	QUESTION	10
HOW TO SETUP PARTITION	QUESTION	10
HOW TO SETUP FILE	QUESTION	10
HOW TO SETUP FOLDER	QUESTION	10
HOW TO ENABLE PACKAGE	QUESTION	10
HOW TO ENABLE SERVICE	QUESTION	10
HOW TO ENABLE DRIVER	QUESTION	10
HOW TO ENABLE NETWORK	QUESTION	10
HOW TO ENABLE WIFI	QUESTION	10
HOW TO ENABLE BLUETOOTH	QUESTION	10
HOW TO ENABLE PRINTER	QUESTION	10
HOW TO ENABLE USB	QUESTION	10
HOW TO ENABLE DISK	QUESTION	10
HOW TO ENABLE PARTITION	QUESTION	10
HOW TO ENABLE FILE	QUESTION	10
HOW TO ENABLE FOLDER	QUESTION	10
HOW TO DISABLE PACKAGE	QUESTION	10
HOW TO DISABLE SERVICE	QUESTION	10
HOW TO DISABLE DRIVER	QUESTION	10
HOW TO DISABLE NETWORK	QUESTION	10
HOW TO DISABLE WIFI	QUESTION	10
HOW TO DISABLE BLUETOOTH	QUESTION	10
HOW TO DISABLE PRINTER	QUESTION	10
HOW TO DISABLE USB	QUESTION	10
HOW TO DISABLE DISK	QUESTION	10
HOW TO DISABLE PARTITION	QUESTION	10
HOW TO DISABLE FILE	QUESTION	10
HOW TO DISABLE FOLDER	QUESTION	10
HOW TO START PACKAGE	QUESTION	10
HOW TO START SERVICE	QUESTION	10
HOW TO START DRIVER	QUESTION	10
HOW TO START NETWORK	QUESTION	10
HOW TO START WIFI	QUESTION	10
HOW TO START BLUETOOTH	QUESTION	10
HOW TO START PRINTER	QUESTION	10
HOW TO START USB	QUESTION	10
HOW TO START DISK	QUESTION	10
HOW TO START PARTITION	QUESTION	10
HOW TO START FILE	QUESTION	10
HOW TO START FOLDER	QUESTION	10
HOW TO STOP PACKAGE	QUESTION	10
HOW TO STOP SERVICE	QUESTION	10
HOW TO STOP DRIVER	QUESTION	10
HOW TO STOP NETWORK	QUESTION	10
HOW TO STOP WIFI	QUESTION	10
HOW TO STOP BLUETOOTH	QUESTION	10
HOW TO STOP PRINTER	QUESTION	10
HOW TO STOP USB	QUESTION	10
HOW TO STOP DISK	QUESTION	10
HOW TO STOP PARTITION	QUESTION	10
HOW TO STOP FILE	QUESTION	10
HOW TO STOP FOLDER	QUESTION	10
HOW TO RESTART PACKAGE	QUESTION	10
HOW TO RESTART SERVICE	QUESTION	10
HOW TO RESTART DRIVER	QUESTION	10
HOW TO RESTART NETWORK	QUESTION	10
HOW TO RESTART WIFI	QUESTION	10
HOW TO RESTART BLUETOOTH	QUESTION	10
HOW TO RESTART PRINTER	QUESTION	10
HOW TO RESTART USB	QUESTION	10
HOW TO RESTART DISK	QUESTION	10
HOW TO RESTART PARTITION	QUESTION	10
HOW TO RESTART FILE	QUESTION	10
HOW TO RESTART FOLDER	QUESTION	10
WHAT IS INSTALL PACKAGE	QUESTION	10
WHAT IS INSTALL SERVICE	QUESTION	10
WHAT IS INSTALL DRIVER	QUESTION	10
WHAT IS INSTALL NETWORK	QUESTION	10
WHAT IS INSTALL WIFI	QUESTION	10
WHAT IS INSTALL BLUETOOTH	QUESTION	10
WHAT IS INSTALL PRINTER	QUESTION	10
WHAT IS INSTALL USB	QUESTION	10
WHAT IS INSTALL DISK	QUESTION	10
WHAT IS INSTALL PARTITION	QUESTION	10
WHAT IS INSTALL FILE	QUESTION	10
WHAT IS INSTALL FOLDER	QUESTION	10
WHAT IS REMOVE PACKAGE	QUESTION	10
WHAT IS REMOVE SERVICE	QUESTION	10
WHAT IS REMOVE DRIVER	QUESTION	10
WHAT IS REMOVE NETWORK	QUESTION	10
WHAT IS REMOVE WIFI	QUESTION	10
WHAT IS REMOVE BLUETOOTH	QUESTION	10
WHAT IS REMOVE PRINTER	QUESTION	10
WHAT IS REMOVE USB	QUESTION	10
WHAT IS REMOVE DISK	QUESTION	10
WHAT IS REMOVE PARTITION	QUESTION	10
WHAT IS REMOVE FILE	QUESTION	10
WHAT IS REMOVE FOLDER	QUESTION	10
WHAT IS UPDATE PACKAGE	QUESTION	10
WHAT IS UPDATE SERVICE	QUESTION	10
WHAT IS UPDATE DRIVER	QUESTION	10
WHAT IS UPDATE NETWORK	QUESTION	10
WHAT IS UPDATE WIFI	QUESTION	10
WHAT IS UPDATE BLUETOOTH	QUESTION	10
WHAT IS UPDATE PRINTER	QUESTION	10
WHAT IS UPDATE USB	QUESTION	10
WHAT IS UPDATE DISK	QUESTION	10
WHAT IS UPDATE PARTITION	QUESTION	10
WHAT IS UPDATE FILE	QUESTION	10
WHAT IS UPDATE FOLDER	QUESTION	10
WHAT IS CONFIGURE PACKAGE	QUESTION	10
WHAT IS CONFIGURE SERVICE	QUESTION	10
WHAT IS CONFIGURE DRIVER	QUESTION	10
WHAT IS CONFIGURE NETWORK	QUESTION	10
WHAT IS CONFIGURE WIFI	QUESTION	10
WHAT IS CONFIGURE BLUETOOTH	QUESTION	10
WHAT IS CONFIGURE PRINTER	QUESTION	10
WHAT IS CONFIGURE USB	QUESTION	10
WHAT IS CONFIGURE DISK	QUESTION	10
WHAT IS CONFIGURE PARTITION	QUESTION	10
WHAT IS CONFIGURE FILE	QUESTION	10
WHAT IS CONFIGURE FOLDER	QUESTION	10
WHAT IS FIX PACKAGE	QUESTION	10
WHAT IS FIX SERVICE	QUESTION	10
WHAT IS FIX DRIVER	QUESTION	10
WHAT IS FIX NETWORK	QUESTION	10
WHAT IS FIX WIFI	QUESTION	10
WHAT IS FIX BLUETOOTH	QUESTION	10
WHAT IS FIX PRINTER	QUESTION	10
WHAT IS FIX USB	QUESTION	10
WHAT IS FIX DISK	QUESTION	10
WHAT IS FIX PARTITION	QUESTION	10
WHAT IS FIX FILE	QUESTION	10
WHAT IS FIX FOLDER	QUESTION	10
WHAT IS CHECK PACKAGE	QUESTION	10
WHAT IS CHECK SERVICE	QUESTION	10
WHAT IS CHECK DRIVER	QUESTION	10
WHAT IS CHECK NETWORK	QUESTION	10
WHAT IS CHECK WIFI	QUESTION	10
WHAT IS CHECK BLUETOOTH	QUESTION	10
WHAT IS CHECK PRINTER	QUESTION	10
WHAT IS CHECK USB	QUESTION	10
WHAT IS CHECK DISK	QUESTION	10
WHAT IS CHECK PARTITION	QUESTION	10
WHAT IS CHECK FILE	QUESTION	10
WHAT IS CHECK FOLDER	QUESTION	10
WHAT IS FIND PACKAGE	QUESTION	10
